date ,price of bread (400g),Refined Vegetable oil (1L),"Cows Milk(Fresh,Pasteurized) -500ML", Diesel (1L),Maize meal(2kg),Gasoline (1L)
1/31/2006,26,115,22,65.99,50.69333333,75.99
2/28/2006,26,120,25,64.99,52.57333333,74.99
3/31/2006,26,108,25,65.99,52.48,75.99
4/30/2006,26,110,25,66.64,53.61333333,76.64
5/31/2006,26,120,25,67.89,55.90666667,77.89
6/30/2006,26,120,22,71.09,56.8,81.09
7/31/2006,26,115,22,73.99,57.16,84.99
8/31/2006,26,120,20,72.99,56.92,83.99
9/30/2006,26,120,20,74.99,55.77333333,85.99
10/31/2006,26,120,20,69.99,54.97333333,79.99
11/30/2006,27,135,20,67.99,53.08,77.99
12/31/2006,27,140,24,66.99,52.44,76.99
1/31/2007,27,130,20,65.99,51.85333333,75.99
2/28/2007,27,135,20,65.99,49.68,75.99
3/31/2007,27,135,20,66.99,48.62666667,76.99
4/30/2007,27,130,20,70.69,47.54666667,80.69
5/31/2007,27,130,20,70.99,47.41333333,80.99
6/30/2007,27,125,20,71.49,47.66666667,81.49
7/31/2007,28,140,20,71.69,47.64,81.69
8/31/2007,28,140,22,72.49,47.8,82.49
9/30/2007,29,135,22,73.49,47.98666667,83.49
10/31/2007,30,135,23,76.29,48.10666667,86.29
11/30/2007,31,135,23,77.79,48.22,87.79
12/31/2007,32,145,23,78.99,48.32666667,88.99
1/31/2008,33,162,20,81.99,52.99333333,91.99
2/29/2008,33,165,25,82.99,54.5,92.99
3/31/2008,33,173,25,87.99,55.8,97.99
4/30/2008,33,175,25,89.49,63.21,99.49
5/31/2008,33,177,26,91.99,67.68,101.99
6/30/2008,33,180,26,96.99,68,102.99
7/31/2008,33,183,25,103.99,70.29,107.99
8/31/2008,33,183,24,104.5,77.61,109.5
9/30/2008,34,183,24,101.2,80.8,106.9
10/31/2008,34,181,25,88.9,81.8,95.9
11/30/2008,34,182,27,73,91.1,78
12/31/2008,34,180,27,70.9,86,75.9
1/31/2009,34,180,27,69,73,74
2/28/2009,34,127,27,70,101,75
3/31/2009,34,127,27,70,96,75
4/30/2009,34,126,27,68,86,74
5/31/2009,35,126,30,67,87,76
6/30/2009,34,126,30,67.9,92,75.9
7/31/2009,34,126,30,69.9,90,80
8/31/2009,33,133,30,72.9,86,80.9
9/30/2009,33,139,30,76.5,84,82.9
10/31/2009,34,140,28,74.9,82,83.9
11/30/2009,34,140,28,74.9,83,84.9
12/31/2009,34,140,28,76.9,83,83.6
1/31/2010,34,135,26,76.9,84.1,83.9
2/28/2010,34,135,26,77.4,83.4,83.9
3/31/2010,34,137,24,77.8,84,88.9
4/30/2010,35,140,23,79,77.5,89.9
5/31/2010,31,138,25,79.9,75.6,89.9
6/30/2010,33,156,25,81.9,71,89.9
7/31/2010,34,154,27,77.9,74,89.9
8/31/2010,38,154,25,79,71.2,88
9/30/2010,38,160,30,81.9,65,93.9
10/31/2010,38,182,34,88.9,61.9,94.5
11/30/2010,38,187,34,89.3,66,98.5
12/31/2010,39,192,34,87.46,65,94.03
1/31/2011,38,196,34,91,70.72,98.08
2/28/2011,38,210,30,94.53,78,102.44
3/31/2011,40,215,32,107.52,87,111.17
4/30/2011,40,225,30,108.02,93,115.35
5/31/2011,40,230,30,106.3,110,114.93
6/30/2011,40,230,30,107.16,140,115.14
7/31/2011,41,225,30,106.21,125,115.16
8/31/2011,40,237,30,108.57,119,117.49
9/30/2011,42,250,33,109.55,116,119.12
10/31/2011,43,240,33,109.55,110,119.2
11/30/2011,40,250,33,112.62,113,122.32
12/31/2011,40,250,35,112.64,104,121.6
1/31/2012,43,250,35,106.6,106,111.64
2/29/2012,43,250,39,105.21,105,111.51
3/31/2012,45,250,45,106.96,102,115.1
4/30/2012,48,230,48,107.88,118,116.8
5/31/2012,48,230,43,108.62,125,119.82
6/30/2012,46,233,40,97.5,116,108.46
7/31/2012,40,233,35,97.09,106,106.48
8/31/2012,40,233,35,97.09,116,106.48
9/30/2012,40,233,30,101.07,116,108.95
10/31/2012,40,233,35,106.11,116,115.26
11/30/2012,40,233,35,105.85,108,113.68
12/31/2012,46,230,40,105.79,107,112.61
1/31/2013,46,230,46,103.99,107,111.6
2/28/2013,47,235,40,106.2,119,113.57
3/31/2013,46,240,40,107.37,134,117.69
4/30/2013,46,240,40,106.44,134,117.65
5/31/2013,40,200,35,101.06,105,113.24
6/30/2013,40,185,39,99.16,105,108.18
7/31/2013,46,199,45,102.86,105,109.52
8/31/2013,46,199,54,104.44,107,112.26
9/30/2013,49,199,54,105.55,110,113.88
10/31/2013,48,199,45,104.47,109,112.27
11/30/2013,45,208,45,103.25,106,108.87
12/31/2013,45,208,45,104.52,103,109.28
1/31/2014,49,199,41,104.73,109,110.59
2/28/2014,45,208,41,105.8,108,111.55
3/31/2014,46,199,41,104.87,114,113.61
4/30/2014,45,204,44,103.82,116,114.16
5/31/2014,50,215,45,104.71,125,114.73
6/30/2014,50,215,45,104.81,125,114.62
7/31/2014,50,215,45,104.67,115,115.86
8/31/2014,50,235,45,102.98,125,116.62
9/30/2014,50,235,45,102.36,120,111.64
10/31/2014,50,235,45,100.67,115,110.89
11/30/2014,,,,,,
12/31/2014,50,230,45,90.85,115,102.01
1/31/2015,50,230,47,83.35,115,92.88
2/28/2015,50,235,50,75.52,102,84.71
3/31/2015,50,235,50,77.48,107,89.35
4/30/2015,,,,,,
5/31/2015,,,,,,
6/30/2015,50,200,50,83.31,110,97.28
7/31/2015,50,200,50,84.56,110,98.59
8/31/2015,50,200,50,79.99,115,102.65
9/30/2015,50,225,50,79.99,110,102.65
10/31/2015,50,210,50,82.43,105,93.29
11/30/2015,50,210,50,78.51,102,90.06
12/31/2015,50,215,50,76.7,102,88.6
1/31/2016,48,235,48,76.7,95,88.6
2/29/2016,48,235,48,67.8,96,86.5
3/31/2016,46,255,48,65.7,90,85.8
4/30/2016,45,255,46,66.2,90,80.7
5/31/2016,45,255,48,70.3,89,84.2
6/30/2016,48,255,48,73.71,105,86.17
7/31/2016,48,262,48,83.2,110,92.9
8/31/2016,50,265,50,84.5,110,95.1
9/30/2016,50,265,50,82.46,112,91.39
10/31/2016,50,265,50,82.1,104,91.5
11/30/2016,50,270,50,82.74,110,94.94
12/31/2016,50,270,48,87.2,107,94.2
1/31/2017,50,225,48,84.2,120,96
2/28/2017,49,285,50,89.2,126,100.2
3/31/2017,50,299,53,90.4,150,101
4/30/2017,50,298,60,88.6,170,98
5/31/2017,50,298,55,88,,99.5
6/30/2017,49,298,55,86.8,,98.7
7/31/2017,49,296,52,84.4,90,97.1
8/31/2017,50,295,53,86.8,90,98.3
9/30/2017,50,298,55,86.86,90,98.3
10/31/2017,50,298,52,88.7,90,101.6
11/30/2017,50,303,50,92.4,90,102.7
12/31/2017,50,306,50,92.4,90,104.1
1/31/2018,50,304,48,94.8,114,106.3
2/28/2018,50,304,48,96.9,109,107.9
3/31/2018,50,305,55,97.8,103,107.4
4/30/2018,50,304,48,97.8,95,106.8
5/31/2018,50,304,48,98.6,95,107.1
6/30/2018,50,304,46,103.6,92,108.8
7/31/2018,50,307,48,103.25,94,112.2
8/31/2018,50,304,48,115,89,127.8
9/30/2018,50,313,45,108.12,75,116.8
10/31/2018,50,315,48,109.72,85,115.73
11/30/2018,49,313,49,112.8,89,118.1
12/31/2018,50,313,48,112.3,87,113.5
1/31/2019,50,317,49,102.2,85,104.2
2/28/2019,50,313,48,95.96,85,100
3/31/2019,50,313,45,96.6,99,101.3
4/30/2019,50,313,55,102.1,115,106.6
5/31/2019,50,313,55,104.3,120,112
6/30/2019,50,313,55,104.72,122,115.05
7/31/2019,48,313,50,103.8,121,115.3
8/31/2019,50,315,50,100.6,123,112.53
9/30/2019,50,313,48,103.4,121,112.81
10/31/2019,48,313,50,101.9,130,108
11/30/2019,50,332,50,104.6,130,110.5
12/31/2019,50,330,46,109.5,126,101.7
1/31/2020,50,354,48,102.3,127,110.2
2/29/2020,48,319,50,104.4,124,112.8
3/31/2020,48,314,50,101.6,129,110.8
4/30/2020,49,314,52,97.56,124,92.87
5/31/2020,50,314,50,78.3,124,83.3
6/30/2020,50,314,50,91.87,104,110.48
7/31/2020,43,314,42,91.8,113,100.4
8/31/2020,43,300,45,94.6,104,103.9
9/30/2020,43,396,50,94.5,103,105.4
10/31/2020,49,346,45,92.9,102,107.2
11/30/2020,43,346,45,90.7,103,105.85
12/31/2020,43,352,45,91.8,105,106.3
1/31/2021,50,359,46,96.4,103,106.9
2/28/2021,50,377,45,101.97,96,115.1
3/31/2021,50,377,46,107.6,105,122.8
4/30/2021,50,377,48,107.6,110,122.8
5/31/2021,50,377,47,107.6,107,126.3
6/30/2021,50,368,44,107.66,104,127.14
7/31/2021,50,368,46,107.66,99,127.14
8/31/2021,50,368,45,107.66,97,127.14
9/30/2021,50,368,47,115.6,104,134.7
10/31/2021,50,368,47,110.6,104,129.7
11/30/2021,57,368,47,110.6,108,129.7
12/31/2021,57,368,49,110.6,123,129.7
1/31/2022,57,368,50,110.6,123,129.7
2/28/2022,57,368,50,110.6,123,129.7
3/31/2022,54,411,59,125.4,134,144.6
4/30/2022,,,,,,
5/31/2022,63,517,55,131,185,150.12
6/30/2022,63,568,55,140,210,159.12
7/31/2022,63,568,55,140,210,159.12
8/31/2022,63,622,55,140,210,159.12
9/30/2022,63,622,57,165,189,179.3
10/31/2022,60,599,54,163,192,178.3
11/30/2022,60,599,55,162,211,177.3
12/31/2022,60,599,60,162,202,177.3
1/31/2023,60,599,53,162,185,177.3
2/28/2023,,,,,,
3/31/2023,,,,,,
